,time,text,url
33,Thu Oct 07 18:26:39 +0000 2021,"Winnie-The-Pooh Bridge Fetches Over 1,30,000 Pounds At UK Auction https://t.co/7QurUz6pxW https://t.co/fcK4Y2tybR",https://ndtv.com/india-news/winnie-the-pooh-bridge-fetches-over-1-30-000-pounds-at-uk-auction-2567753
34,Thu Oct 07 18:26:12 +0000 2021,"RT @ndtvfeed: Homeopathy Is A ""Science"", Best Method Of Treatment: Union Minister https://t.co/ixPEZLB9mm https://t.co/xWz6PQeCx6",https://www.ndtv.com/india-news/homeopathy-is-a-science-best-method-of-treatment-union-minister-sarbananda-sonowal-2567666
35,Thu Oct 07 18:26:01 +0000 2021,"Bihar Bypolls: Tej Pratap, Misa Bharti Not In RJD Star Campaigners' List https://t.co/n4OEhwX7oQ https://t.co/QGkuKNIYhi",https://ndtv.com/india-news/bihar-bypolls-lalu-prasad-yadavs-son-tej-pratap-yadav-daughter-misa-bharti-not-in-rjd-star-campaigners-list-2567686
36,Thu Oct 07 18:24:45 +0000 2021,"Places Of Worship Open In Maharashtra

NDTV's Saurabh Gupta reports https://t.co/ejRqU6Kjq9",
37,Thu Oct 07 18:23:52 +0000 2021,"""Never Imagined..."": PM Modi On Completing 20 Years In Public Office 

Read more: https://t.co/6AqwYrk6vb https://t.co/AUR3z01ND2",https://www.ndtv.com/india-news/pm-modi-20-years-public-service-never-imagined-pm-modi-on-completing-20-years-in-public-office-2566815
38,Thu Oct 07 18:22:13 +0000 2021,"Terrorists Kill 2 Srinagar Teachers At School In Targeted Killings 

NDTV's Nazir Masoodi reports

Read more:… https://t.co/2o7YoeNqe7",https://twitter.com/i/web/status/1446179068295057429
39,Thu Oct 07 18:17:00 +0000 2021,".@OnReality_Check | ""What's happening in the valley reminds me of the 1990s,"" says Former J&amp;K top cop SP Vaid on th… https://t.co/rySZj9Ej9x",https://twitter.com/i/web/status/1446177757478543360
40,Thu Oct 07 18:16:37 +0000 2021,".@OnReality_Check | ""I will go back to Srinagar, won't be deterred by such attacks,"" says Dr Upendra Kaul, a Kashmi… https://t.co/rq6nPtinff",https://twitter.com/i/web/status/1446177661672296463
41,Thu Oct 07 18:16:08 +0000 2021,".@OnReality_Check | ""Many pandits who were thinking of going back to Kashmir will now think a hundred times,"" says… https://t.co/MDtziIvuey",https://twitter.com/i/web/status/1446177540477915136
42,Thu Oct 07 18:10:17 +0000 2021,"Minister's Son Summoned, 2 Arrested After Farmers Killed In UP Violence

Read more: https://t.co/sOjW0X7xid https://t.co/VnZxijf9tF",https://www.ndtv.com/india-news/ashish-mishra-son-of-union-minister-accused-of-running-over-farmers-in-up-summoned-by-cops-for-questioning-2567165
43,Thu Oct 07 18:09:09 +0000 2021,"#AryanKhan Applies For Bail, Mumbai Court Decision Tomorrow 

NDTV's Saurabh Gupta reports 

Read more:… https://t.co/qapfJHRKQi",https://twitter.com/i/web/status/1446175781168693250
44,Thu Oct 07 18:05:05 +0000 2021,"RT @ndtveducation: #NEETSS2021: Exam To Be Held In January; Check New Exam Date
#neet 
https://t.co/lAGSmG2xLS https://t.co/9eaYSTKRHX",https://www.ndtv.com/education/neet-ss-2021-exam-be-held-in-january-check-new-exam-date
45,Thu Oct 07 18:04:49 +0000 2021,"No Quarantine For Fully-Vaccinated Indians Travelling To UK From Monday 

Read more: https://t.co/zf74EaivDv https://t.co/WmtR6bFefC",https://www.ndtv.com/india-news/fully-vaccinated-indians-travelling-to-uk-wont-have-to-quarantine-from-oct-11-2567663
46,Thu Oct 07 18:02:10 +0000 2021,"n Karnataka, 3 Men Arrested After Woman Resisted Rape, Was Set On Fire 

Read more: https://t.co/pySCZoiTqE https://t.co/Ue3Ome9W1D",https://www.ndtv.com/karnataka-news/karnataka-news-in-karnataka-3-men-arrested-after-woman-resisted-rape-was-set-on-fire-2567113
47,Thu Oct 07 17:55:13 +0000 2021,"""They Let BJP Leader's In-Law Go"": NCP's Nawab Malik On Mumbai Drugs Bust https://t.co/ArMeEPne1e https://t.co/M2T1AASvTM",https://ndtv.com/india-news/they-let-bjp-leaders-in-law-go-ncps-nawab-malik-on-mumbai-drugs-bust-2567664
48,Thu Oct 07 17:53:33 +0000 2021,"""Failure Of 'Double Engine' Government"": Mehbooba Mufti On J&amp;K Killings https://t.co/nDbTRjaLNp https://t.co/OhXTnosMhG",https://ndtv.com/india-news/mehbooba-mufti-says-jammu-and-kashmir-killings-show-failure-of-double-engine-government-2567601
49,Thu Oct 07 17:52:34 +0000 2021,RT @ndtvfeed: Central Police Force Creates Specialised Teams For Disaster Response https://t.co/BFemThc5bV https://t.co/UNKPgyrICJ,https://www.ndtv.com/india-news/central-police-force-creates-specialised-teams-for-disaster-response-2567546
50,Thu Oct 07 17:52:29 +0000 2021,"RT @ndtvfeed: ""Failure Of 'Double Engine' Government"": Mehbooba Mufti On J&amp;K Killings https://t.co/VPRTqES4oy https://t.co/YOLM0RokrY",https://www.ndtv.com/india-news/mehbooba-mufti-says-jammu-and-kashmir-killings-show-failure-of-double-engine-government-2567601
51,Thu Oct 07 17:52:24 +0000 2021,RT @ndtvfeed: I-T Raids Linked To BJP's Internal Revolt: Ex-Karnataka Chief Minister https://t.co/BtzSQa3YU4 https://t.co/RpZ2CSb5ho,https://www.ndtv.com/india-news/i-t-raids-ahead-of-bypolls-linked-to-bjps-internal-revolt-ex-karnataka-chief-minister-hd-kumaraswamy-2567505
52,Thu Oct 07 17:52:20 +0000 2021,RT @ndtvfeed: Russia To Invite Taliban To International Talks In Moscow On October 20 https://t.co/PJibOmkfZG https://t.co/WnwR0DpzNm,https://www.ndtv.com/world-news/russia-to-invite-taliban-to-international-talks-in-moscow-on-october-20-2567677
53,Thu Oct 07 17:52:12 +0000 2021,No Quarantine For Fully-Vaccinated Indians Travelling To UK From Monday https://t.co/QtH0VUGwo6 https://t.co/1EtHkCkdHe,https://ndtv.com/india-news/fully-vaccinated-indians-travelling-to-uk-wont-have-to-quarantine-from-oct-11-2567663
54,Thu Oct 07 17:40:39 +0000 2021,"RT @Sports_NDTV: Wrestler #AnshuMalik becomes first Indian woman to win silver medal in World Championships

https://t.co/gTGtNwyApm",https://sports.ndtv.com/wrestling/wrestler-anshu-malik-becomes-first-indian-woman-to-win-world-championships-silver-2567667
55,Thu Oct 07 17:31:57 +0000 2021,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/fsU3WlER9Q",http://ndtv.com
56,Thu Oct 07 16:54:01 +0000 2021,"RT @ndtvfeed: Tax Raid At 50 Karnataka Places, Including BS Yediyurappa Aide's Premises https://t.co/3wdvLlEBGt https://t.co/garM4OZFrd",https://www.ndtv.com/karnataka-news/income-tax-raid-at-50-karnataka-places-including-bs-yediyurappa-aide-umeshs-premises-2567534
57,Thu Oct 07 16:51:30 +0000 2021,I don't think anyone in the RJD has the guts to oust Tej Pratap Yadav from the party: Former Bihar Chief Minister a… https://t.co/IR2tZXcC9L,https://twitter.com/i/web/status/1446156239117844495
58,Thu Oct 07 16:49:13 +0000 2021,#Covid https://t.co/uy3UA80ZXz,
59,Thu Oct 07 16:41:02 +0000 2021,"#TrendingTonight | “The Police reports to the Home Ministry. The man is Minister Of State For Home Affairs, he is i… https://t.co/ipdTGb4FlU",https://twitter.com/i/web/status/1446153605665357827
60,Thu Oct 07 16:39:04 +0000 2021,"RT @carandbike: The more powerful #Hero #XPulse2004V has arrived with 4-valve technology, revised gear ratios and better cooling. It's also…",
61,Thu Oct 07 16:37:43 +0000 2021,RT @carandbike: .@SkodaIndia has officially confirmed that its upcoming compact sedan will be called the #Slavia. It will the brand’s secon…,
62,Thu Oct 07 16:32:50 +0000 2021,"#TrendingTonight | @MahuaMoitra, MP, TMC, on #LakhimpurKheriViolence https://t.co/dRTQ2fXrDA",
63,Thu Oct 07 16:31:25 +0000 2021,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/YyaRDrwGwP",http://ndtv.com
64,Thu Oct 07 16:29:16 +0000 2021,RT @ndtvfeed: Discussions With US Underway On S-400: India https://t.co/Q2nyMSe4NR https://t.co/U9ZDeJ5wAf,https://www.ndtv.com/india-news/discussions-with-us-underway-on-s-400-india-2567637
65,Thu Oct 07 16:29:11 +0000 2021,"RT @ndtvfeed: ""When People Can Enjoy Swimming..."": Delhi BJP MP's Chhath Puja Pitch https://t.co/RWxuoHXQGP https://t.co/Qb0HZnegxo",https://www.ndtv.com/india-news/when-people-can-enjoy-swimming-delhi-bjp-mps-chhath-puja-pitch-2567626
66,Thu Oct 07 16:29:06 +0000 2021,"RT @ndtvfeed: 7 Kashmir Civilians Killed In 6 Days, Officers Say Segregated By Community https://t.co/5BqzPnJEtc https://t.co/BmtxpheZif",https://www.ndtv.com/india-news/7-kashmir-civilians-killed-in-6-days-officers-say-segregated-by-community-2567575
67,Thu Oct 07 16:29:00 +0000 2021,"RT @ndtvfeed: ""Not Attended In 5 Years,"" Says Varun Gandhi, Dropped From Top BJP Body https://t.co/sxHZrmhfkO https://t.co/daadQY2gOq",https://www.ndtv.com/india-news/not-attended-a-meet-in-5-years-says-varun-gandhi-dropped-from-top-bjp-body-2567604
68,Thu Oct 07 16:28:55 +0000 2021,"RT @ndtveducation: Tharoor Slams DU Professor's ""Mark Jihad"" Remarks Against Kerala Education Board

https://t.co/MMSzx2VR2g https://t.co/N…",https://www.ndtv.com/education/tharoor-slams-du-professors-mark-jihad-remarks-against-kerala-edu-board
69,Thu Oct 07 16:27:51 +0000 2021,"#LeftRightCentre | “Through media publicity, NCB is trying to defame the government, also trying to suggest that dr… https://t.co/nPbTYsBtbU",https://twitter.com/i/web/status/1446150288688107521
70,Thu Oct 07 16:20:33 +0000 2021,"#LeftRightCentre | Nawab Malik, senior NCP leader, on #MumbaiDrugBust

#NDTVExclusive https://t.co/z8RS2Xybvz",
71,Thu Oct 07 16:15:26 +0000 2021,"#LeftRightCentre | Nawab Malik, senior NCP leader, on #MumbaiDrugBust

#NDTVExclusive https://t.co/NZzWYsJoCg",
72,Thu Oct 07 16:13:04 +0000 2021,"#LeftRightCentre | “NCB in the last one year has done investigations only for publicity”: Nawab Malik, senior NCP l… https://t.co/2PsMOzSsUK",https://twitter.com/i/web/status/1446146568529199109
73,Thu Oct 07 16:05:58 +0000 2021,"""Not Attended In 5 Years,"" Says Varun Gandhi, Dropped From Top BJP Body https://t.co/a6YlX070rB https://t.co/leoDBHq0IW",https://ndtv.com/india-news/not-attended-a-meet-in-5-years-says-varun-gandhi-dropped-from-top-bjp-body-2567604
74,Thu Oct 07 16:02:34 +0000 2021,"Places Of Worship Open In Maharashtra

NDTV's Saurabh Gupta reports https://t.co/SJw5AqCjlX",
75,Thu Oct 07 15:58:23 +0000 2021,"RT @NDTVFood: Brain Health: 5 Common Foods That May Help Improve Brain Health

https://t.co/H61dak1YxH
#BrainFunction #brainhealth",https://food.ndtv.com/food-drinks/brain-health-5-common-foods-that-may-help-improve-brain-health-2567374
76,Thu Oct 07 15:58:13 +0000 2021,"RT @NDTVFood: Happy Navratri 2021: Best Recipes And How To Celebrate

https://t.co/yDZ3dB8GI4",https://twitter.com/i/events/1446003698795048961
77,Thu Oct 07 15:58:05 +0000 2021,"RT @NDTVFood: 7 Vrat Recipes You Can Make In Under 30 Minutes
https://t.co/McLGIkmZ7r
#navratri2021 #Navratri",https://bit.ly/3AdPTwN
78,Thu Oct 07 15:52:20 +0000 2021,"RT @ndtvfeed: ""Evolving Science"": Centre On Booster Doses Of Covid Vaccines https://t.co/RlxqxaQXic https://t.co/FJtJoHSQKn",https://www.ndtv.com/india-news/booster-dose-niti-aayog-member-vk-paul-says-science-relating-to-booster-doses-of-covid-vaccines-is-still-evolving-2567585
79,Thu Oct 07 15:52:14 +0000 2021,"RT @ndtvfeed: ""Anti-Kerala Bias"": Shashi Tharoor On DU Professor's ""Mark Jihad"" Remark https://t.co/67GGkkWYi4 https://t.co/XyoOoiUNNp",https://www.ndtv.com/india-news/shashi-tharoor-on-du-professors-mark-jihad-remark-says-anti-kerala-bias-must-end-2567564
80,Thu Oct 07 15:38:20 +0000 2021,"#AryanKhan Applies For Bail, Mumbai Court Decision Tomorrow

NDTV's Saurabh Gupta reports

Read more:… https://t.co/19qpA9iZGA",https://twitter.com/i/web/status/1446137826026745858
81,Thu Oct 07 15:31:12 +0000 2021,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/mlMesCj7lY",http://ndtv.com
82,Thu Oct 07 15:27:28 +0000 2021,".@OnReality_Check | SP Vaid, Former DGP, Jammu and Kashmir, on the recent spate of civilian killings. https://t.co/a4ynltqbXM",
83,Thu Oct 07 15:26:42 +0000 2021,".@OnReality_Check | Farooq Abdullah, Former Chief Minister, J&amp;K, on the recent spate of civilian killings in Jammu… https://t.co/FdYUmaRGUM",https://twitter.com/i/web/status/1446134900310962185
84,Thu Oct 07 15:17:11 +0000 2021,"#LakhimpurViolence | Top Court Asks UP To File Report On Farmers' Killings Tomorrow

NDTV's Alok Pandey reports

Re… https://t.co/3KFjac77lt",https://twitter.com/i/web/status/1446132505304649741
85,Thu Oct 07 15:11:16 +0000 2021,"Terrorists Kill 2 Srinagar Teachers At School In Targeted Killings 

NDTV's Nazir Masoodi reports

Read more:… https://t.co/BAlSbegyfC",https://twitter.com/i/web/status/1446131014653251592
86,Thu Oct 07 14:38:42 +0000 2021,"Agreement in US Congress to avert debt default: top Democrat

(AFP news agency)",
87,Thu Oct 07 14:36:54 +0000 2021,"In all such cases, terrorists have been using pistols. These acts are committed by newly recruited terrorists or th… https://t.co/5FUXnYKo56",https://twitter.com/i/web/status/1446122365406965763
88,Thu Oct 07 14:35:10 +0000 2021,"A total of 28 civilians have been killed by terrorists in 2021. Out of 28, five persons belong to local Hindu and S… https://t.co/uTWBTgWPcd",https://twitter.com/i/web/status/1446121929958592521
89,Thu Oct 07 14:34:09 +0000 2021,PM Modi To Launch Industry Body Indian Space Association On October 11 https://t.co/NxEocVeSJM https://t.co/iiOQCJhefl,https://ndtv.com/india-news/pm-narendra-modi-to-launch-industry-body-indian-space-association-on-october-11-2567467
90,Thu Oct 07 14:33:44 +0000 2021,RT @ndtvfeed: High Court Seeks Response From Assam Government Over Violent Evictions https://t.co/D5l7GENi0H https://t.co/FB3ILH9zoR,https://www.ndtv.com/india-news/gauhati-high-court-seeks-response-from-assam-government-over-violent-evictions-2567274
