time,text,url,retweet_count,favorite_count
Wed Sep 29 19:14:07 +0000 2021,'Let's win it': Suryakumar Yadav elated about teaming with Rohit Sharma for T20 World Cup https://t.co/cZX2ikRRSO,https://www.republicworld.com/sports-news/cricket-news/lets-win-it-suryakumar-yadav-elated-about-teaming-with-rohit-sharma-for-t20-world-cup.html,1,26
Wed Sep 29 18:44:42 +0000 2021,IN PICS | EAM S Jaishankar visits Mexico's pyramids; pays homage at Gandhi memorial https://t.co/sAOTkj36Ra,https://www.republicworld.com/world-news/rest-of-the-world-news/in-pics-eam-s-jaishankar-visits-mexicos-pyramids-pays-homage-at-gandhi-memorial-imageid-1.html,4,39
Wed Sep 29 18:08:53 +0000 2021,"#IPL2021, RR vs RCB: Mustafizur Rahman's outstanding leaping effort saves SIX for side https://t.co/z0x4WXBNwI",https://www.republicworld.com/sports-news/cricket-news/ipl-2021-rr-vs-rcb-mustafizur-rahmans-outstanding-leaping-effort-saves-six-for-side.html,4,35
Wed Sep 29 18:05:22 +0000 2021,Imran Khan's party admits Pakistan terrorists carried out 26/11 terror attack on India https://t.co/nerrTAK2ol,https://www.republicworld.com/world-news/pakistan-news/imran-khans-party-admits-pakistan-terrorists-carried-out-26-11-terror-attack-on-india.html,47,198
Wed Sep 29 18:03:20 +0000 2021,China: Evergrande's debt crisis worsens as real estate firm struggles to raise $1.5bn https://t.co/TIscKldTn0,https://www.republicworld.com/world-news/china/china-evergrandes-debt-crisis-worsens-as-real-estate-firm-struggles-to-raise-1-dot-5bn.html,5,32
Wed Sep 29 17:59:40 +0000 2021,CoWIN chief RS Sharma speaks to Republic; elaborates on Ayushman Bharat Digital Mission https://t.co/YfHGow4PIz,https://www.republicworld.com/india-news/general-news/cowin-chief-rs-sharma-speaks-to-republic-elaborates-on-ayushman-bharat-digital-mission.html,9,54
Wed Sep 29 17:59:20 +0000 2021,#IPL2021: All-round RCB thrash Rajasthan Royals by 7 wickets https://t.co/WGLh1VIZq6,https://www.republicworld.com/sports-news/cricket-news/ipl-2021-all-round-rcb-thrash-rajasthan-royals-by-7-wickets.html,4,22
Wed Sep 29 17:50:07 +0000 2021,Jignesh Mevani vows to 'protect' India's Constitution with Rahul Gandhi &amp; Congress https://t.co/CyWn6rBOC5,https://www.republicworld.com/india-news/politics/jignesh-mevani-vows-to-protect-indias-constitution-with-rahul-gandhi-and-congress.html,6,42
Wed Sep 29 17:47:24 +0000 2021,"#IPL2021 | RR's Riyan Parag's 'bullet throw' stuns Virat Kohli, sends RCB skipper back to pavilion https://t.co/gRLZ6vqlz3",https://www.republicworld.com/sports-news/cricket-news/rrs-riyan-parags-bullet-throw-stuns-virat-kohli-sends-rcb-skipper-back-to-pavilion.html,2,29
Wed Sep 29 17:45:33 +0000 2021,Republic top 10: Captain Amarinder meets Amit Shah; Vadra Congress slams Kapil Sibal https://t.co/E8PkI5vS5Q,https://www.republicworld.com/india-news/general-news/republic-top-10-captain-amarinder-meets-amit-shah-vadra-congress-slams-kapil-sibal.html,2,34
Wed Sep 29 17:43:15 +0000 2021,Punjab CM Channi won't comply with Navjot Sidhu; upholds AG's appointment https://t.co/FTRfRBO6ab,https://www.republicworld.com/india-news/politics/punjab-cm-channi-wont-comply-with-navjot-sidhu-upholds-ags-appointment.html,15,124
Wed Sep 29 17:39:43 +0000 2021,PM Modi thanks Bill Gates for hailing Ayushman Bharat Digital Mission; highlights scope https://t.co/pCW3uNphSW,https://www.republicworld.com/india-news/general-news/pm-modi-thanks-bill-gates-for-hailing-ayushman-bharat-digital-mission-highlights-scope.html,19,148
Wed Sep 29 17:33:26 +0000 2021,"'Congress should quit armchair politics; if it's unable to fight BJP, we'll do it': TMC https://t.co/Pf8jNHRkGr",https://www.republicworld.com/india-news/politics/congress-should-quit-armchair-politics-if-its-unable-to-fight-bjp-well-do-it-tmc.html,9,47
Wed Sep 29 17:32:35 +0000 2021,SP's Akhilesh Yadav promises caste-based census in UP; laments about jailed Azam Khan https://t.co/tflxbySxjr,https://www.republicworld.com/india-news/politics/sps-akhilesh-yadav-promises-caste-based-census-in-up-laments-about-jailed-azam-khan.html,5,23
Wed Sep 29 17:29:57 +0000 2021,#BREAKING | Imran Khan's PTI party admits Pakistan terrorists carried out the 26/11 terror attack on India… https://t.co/BhfkurajqZ,https://twitter.com/i/web/status/1443266814230732802,22,77
