time,text,url
Fri Sep 24 18:14:44 +0000 2021,Rohini Court firing: Senior advocate KTS Tulsi calls for comprehensive security review in courts https://t.co/WqE7zzx96h,https://www.republicworld.com/india-news/general-news/rohini-court-firing-senior-advocate-kts-tulsi-calls-for-comprehensive-security-review-in.html
Fri Sep 24 18:13:41 +0000 2021,PM Modi takes centre stage to address the QUAD summit after Joe Biden concludes. Stay tuned for #LIVE coverage here… https://t.co/lrPYMV23eT,https://twitter.com/i/web/status/1441465878655111175
Fri Sep 24 18:12:23 +0000 2021,US President Joe Biden begins addressing the QUAD summit. Watch #LIVE here https://t.co/3AdouRdizw https://t.co/Kq9cxd1M9U,https://www.youtube.com/watch?v=xtoOK86mW8Y
Fri Sep 24 18:11:36 +0000 2021,First in-person QUAD summit begins; Watch Republic's #LIVE coverage here https://t.co/oefJxIhn1D https://t.co/wyumVZatUx,http://youtube.com/watch?v=xtoOK86mW8Y
Fri Sep 24 18:08:59 +0000 2021,BJP alleges assault on Bhabanipur candidate Tibrewal; demands removal of Kolkata DCP South https://t.co/4Xhxybsi9w,https://www.republicworld.com/india-news/general-news/bjp-alleges-assault-on-bhabanipur-candidate-tibrewal-demands-removal-of-kolkata-dcp-south.html
Fri Sep 24 17:46:00 +0000 2021,LS Speaker Om Birla urges legislators to set example to increase people's faith in democracy https://t.co/1q7PKb3TZU,https://www.republicworld.com/india-news/general-news/ls-speaker-birla-urges-legislators-to-set-example-to-increase-peoples-faith-in-democracy.html
Fri Sep 24 17:40:46 +0000 2021,The best quotes as PM Modi meets US President Joe Biden for an 'outstanding' bilateral #ModiMeetsBiden https://t.co/7D6SyuGSim,https://www.republicworld.com/world-news/us-news/the-best-quotes-as-pm-modi-meets-us-president-joe-biden-for-an-outstanding-bilateral.html
Fri Sep 24 17:28:32 +0000 2021,5 Bidens in India?: US President's off-script story got a hilarious reply from PM Modi  https://t.co/l0h3DOr5Kh,https://www.republicworld.com/world-news/us-news/5-bidens-in-india-us-presidents-off-script-story-got-a-hilarious-reply-from-pm-modi.html
Fri Sep 24 17:25:50 +0000 2021,"Premier of China has not called Imran Khan for past 20 months, CPEC has come to absolute standstill. Not just the U… https://t.co/R9qTcuPAVK",https://twitter.com/i/web/status/1441453836808327168
Fri Sep 24 17:21:48 +0000 2021,US needs India more than India needs US; they want India to deter China; but India in future will be doing more bus… https://t.co/EaS59NA9ze,https://twitter.com/i/web/status/1441452822101258248
